id,client_id,name,platform,external_id,pipeline_type,description,environment,is_active,created_at,updated_at
3c4d5e6f-7081-4c9d-0e1f-2a3b4c5d6e7f,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Telemetry Stream,vendor_api,nordwind-kafka-dev-telemetry-stream,ingestion,Ingestion pipeline for dev workloads and monitoring needs.,dev,true,2025-10-09T00:00:00Z,2025-10-31T00:00:00Z
2b3c4d5e-6f70-4b8c-9d0e-1f2a3b4c5d6f,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Warehouse Models,dbt,nordwind-dbt-prod-warehouse-models,transform,Transform pipeline for prod workloads and monitoring needs.,prod,true,2025-09-22T00:00:00Z,2025-10-08T00:00:00Z
091a2b3c-4d5e-4994-d5e6-f7091a2b3c4d,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,Claims Ingest,vendor_api,ironclad-adf-prod-claims-ingest,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-09-15T00:00:00Z,2025-10-15T00:00:00Z
2b3c4d5e-6f70-4bb6-f709-1a2b3c4d5e6f,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,DQ Policy,custom,ironclad-gx-prod-dq-policy,quality,Quality pipeline for prod workloads and monitoring needs.,prod,true,2025-12-22T00:00:00Z,2025-12-27T00:00:00Z
1a2b3c4d-5e6f-4aa5-e6f7-091a2b3c4d5e,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,Fraud Features,custom,ironclad-databricks-staging-fraud-features,transform,Transform pipeline for staging workloads and monitoring needs.,staging,true,2025-11-07T00:00:00Z,2025-12-06T00:00:00Z
3c4d5e6f-7081-4cc7-1a2b-3c4d5e6f7080,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,Monthly Close,airflow,ironclad-airflow-prod-monthly-close,healthcheck,Healthcheck pipeline for prod workloads and monitoring needs.,prod,true,2026-02-21T00:00:00Z,2026-02-27T00:00:00Z
091a2b3c-4d5e-49b4-d5e6-f708192a3b4c,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,EHR Ingest,vendor_api,bluecedar-adf-prod-ehr-ingest,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-09-02T00:00:00Z,2025-09-15T00:00:00Z
2b3c4d5e-6f70-4bb6-f708-192a3b4c5d6e,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,PHI Validations,custom,bluecedar-gx-prod-phi-validations,quality,Quality pipeline for prod workloads and monitoring needs.,prod,true,2025-11-03T00:00:00Z,2025-11-23T00:00:00Z
1a2b3c4d-5e6f-4aa5-e6f7-08192a3b4c5d,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,Readmit Model,custom,bluecedar-databricks-staging-readmit-model,transform,Transform pipeline for staging workloads and monitoring needs.,staging,true,2025-10-06T00:00:00Z,2025-11-04T00:00:00Z
3c4d5e6f-7081-4cc7-0819-2a3b4c5d6e7f,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,Research Pulls,custom,bluecedar-prefect-dev-research-pulls,healthcheck,Healthcheck pipeline for dev workloads and monitoring needs.,dev,true,2026-01-10T00:00:00Z,2026-01-19T00:00:00Z
708192a3-b4c5-400b-5e6f-708091a2b3c4,5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,Airport Feeds,custom,silverline-prefect-dev-airport-feeds,healthcheck,Healthcheck pipeline for dev workloads and monitoring needs.,dev,false,2026-01-27T00:00:00Z,2026-02-23T00:00:00Z
4d5e6f70-8192-4dd8-2b3c-4d5e6f708091,5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,Bookings Ingest,vendor_api,silverline-fivetran-prod-bookings-ingest,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-09-24T00:00:00Z,2025-10-19T00:00:00Z
6f708192-a3b4-4ffa-4d5e-6f708091a2b3,5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,OPS Dash,custom,silverline-looker-staging-ops-dash,export,Export pipeline for staging workloads and monitoring needs.,staging,true,2025-12-15T00:00:00Z,2026-01-10T00:00:00Z
5e6f7081-92a3-4ee9-3c4d-5e6f708091a2,5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,Revenue Marts,dbt,silverline-dbt-prod-revenue-marts,transform,Transform pipeline for prod workloads and monitoring needs.,prod,true,2025-10-28T00:00:00Z,2025-11-05T00:00:00Z
b4c5d6e7-f809-444f-91a2-b3c4d5e6f708,6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e01,Procurement,vendor_api,pineworks-glue-staging-procurement,ingestion,Ingestion pipeline for staging workloads and monitoring needs.,staging,false,2025-12-29T00:00:00Z,2026-01-03T00:00:00Z
8192a3b4-c5d6-411c-6f70-8091a2b3c4d5,6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e01,Site Reports,airflow,pineworks-airflow-prod-site-reports,healthcheck,Healthcheck pipeline for prod workloads and monitoring needs.,prod,false,2025-10-14T00:00:00Z,2025-10-20T00:00:00Z
708192a3-b4c5-402b-4c5d-6e7f8091a2b3,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,Backfills,custom,heliofin-prefect-dev-backfills,healthcheck,Healthcheck pipeline for dev workloads and monitoring needs.,dev,true,2025-11-12T00:00:00Z,2025-12-12T00:00:00Z
4d5e6f70-8192-4d0e-1f2a-3b4c5d6e7f80,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,Card TX Ingest,vendor_api,heliofin-adf-prod-card-tx-ingest,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-08-30T00:00:00Z,2025-09-12T00:00:00Z
6f708192-a3b4-4f2a-3b4c-5d6e7f8091a2,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,DQ Checks,custom,heliofin-gx-staging-dq-checks,quality,Quality pipeline for staging workloads and monitoring needs.,staging,true,2025-10-01T00:00:00Z,2025-10-17T00:00:00Z
5e6f7081-92a3-4e1f-2a3b-4c5d6e7f8091,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,Risk Features,custom,heliofin-databricks-prod-risk-features,transform,Transform pipeline for prod workloads and monitoring needs.,prod,true,2025-09-14T00:00:00Z,2025-10-10T00:00:00Z
f8091a2b-3c4d-4883-c4d5-e6f7091a2b3c,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,CRM Sync,vendor_api,verdemart-hightouch-staging-crm-sync,export,Export pipeline for staging workloads and monitoring needs.,staging,true,2026-02-12T00:00:00Z,2026-03-14T00:00:00Z
d6e7f809-1a2b-4661-a2b3-c4d5e6f7091a,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,Customer360,dbt,verdemart-dbt-prod-customer360,transform,Transform pipeline for prod workloads and monitoring needs.,prod,true,2025-10-04T00:00:00Z,2025-10-22T00:00:00Z
e7f8091a-2b3c-4772-b3c4-d5e6f7091a2b,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,Experiments,custom,verdemart-prefect-dev-experiments,healthcheck,Healthcheck pipeline for dev workloads and monitoring needs.,dev,true,2025-11-26T00:00:00Z,2025-11-27T00:00:00Z
c5d6e7f8-091a-4550-91a2-b3c4d5e6f709,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,Marketplace Ingest,vendor_api,verdemart-matillion-prod-marketplace-ingest,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-08-31T00:00:00Z,2025-09-05T00:00:00Z
708192a3-b4c5-400b-4c5d-6e7f8091a2b3,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Grid Events,vendor_api,skyline-kafka-prod-grid-events,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2026-02-05T00:00:00Z,2026-02-19T00:00:00Z
5e6f7081-92a3-4ee9-2a3b-4c5d6e7f8091,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Load Forecast Orchestrate,airflow,skyline-airflow-prod-load-forecast-orchestrate,healthcheck,Healthcheck pipeline for prod workloads and monitoring needs.,prod,true,2025-09-25T00:00:00Z,2025-10-02T00:00:00Z
6f708192-a3b4-4ffa-3b4c-5d6e7f8091a2,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Metering Marts,dbt,skyline-dbt-staging-metering-marts,transform,Transform pipeline for staging workloads and monitoring needs.,staging,true,2025-11-14T00:00:00Z,2025-11-30T00:00:00Z
4d5e6f70-8192-4dd8-192a-3b4c5d6e7f80,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Scada Ingest,vendor_api,skyline-glue-prod-scada-ingest,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-08-29T00:00:00Z,2025-09-01T00:00:00Z
a3b4c5d6-e7f8-433e-8091-a2b3c4d5e6f7,ab12cd34-ef56-4789-9abc-def012345678,Client Audits,custom,harborpoint-prefect-dev-client-audits,healthcheck,Healthcheck pipeline for dev workloads and monitoring needs.,dev,false,2026-01-05T00:00:00Z,2026-01-13T00:00:00Z
92a3b4c5-d6e7-422d-7080-91a2b3c4d5e6,ab12cd34-ef56-4789-9abc-def012345678,Finance Pack,dbt,harborpoint-dbt-staging-finance-pack,transform,Transform pipeline for staging workloads and monitoring needs.,staging,false,2025-11-21T00:00:00Z,2025-12-14T00:00:00Z
d6e7f809-1a2b-4681-a2b3-c4d5e6f70819,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,BOM Refresh,airflow,atlasforge-airflow-staging-bom-refresh,healthcheck,Healthcheck pipeline for staging workloads and monitoring needs.,staging,true,2025-09-20T00:00:00Z,2025-10-02T00:00:00Z
e7f8091a-2b3c-4792-b3c4-d5e6f708192a,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,Costing Models,dbt,atlasforge-dbt-prod-costing-models,transform,Transform pipeline for prod workloads and monitoring needs.,prod,true,2025-10-12T00:00:00Z,2025-10-27T00:00:00Z
c5d6e7f8-091a-4570-91a2-b3c4d5e6f708,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,ERP Extract,vendor_api,atlasforge-glue-prod-erp-extract,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-08-26T00:00:00Z,2025-09-06T00:00:00Z
f8091a2b-3c4d-48a3-c4d5-e6f708192a3b,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,Sensor Stream,vendor_api,atlasforge-dataflow-dev-sensor-stream,ingestion,Ingestion pipeline for dev workloads and monitoring needs.,dev,true,2025-11-28T00:00:00Z,2025-12-15T00:00:00Z
